,Date,FTSE,NASDAQ,HANG,SP500,DAX
212,09/02/2022,7643.42,14490.37,24829.99,4587.18,15482.01
213,08/02/2022,7567.07,14194.46,24329.49,4521.54,15242.38
214,07/02/2022,7573.47,14015.67,24579.55,4483.87,15206.64
215,04/02/2022,7516.4,14098.01,24573.29,4500.54,15099.56
216,31/01/2022,7464.37,14239.88,23802.26,4515.55,15471.2
217,28/01/2022,7466.07,13770.57,23550.08,4431.85,15318.95
218,27/01/2022,7554.31,13352.78,23807.0,4326.5,15524.27
219,26/01/2022,7469.78,13542.12,24289.9,4349.93,15459.39
220,25/01/2022,7371.46,13539.29,24243.61,4356.45,15123.87
221,24/01/2022,7297.15,13855.13,24656.46,4410.13,15011.13
222,21/01/2022,7494.13,13768.92,24965.55,4397.93,15603.88
223,20/01/2022,7585.01,14154.02,24952.35,4482.73,15912.33
224,19/01/2022,7589.66,14340.25,24127.85,4532.76,15809.72
225,18/01/2022,7563.55,14506.9,24112.78,4577.34,15772.56
226,14/01/2022,7542.95,14893.75,24383.32,4662.85,15883.24
227,13/01/2022,7563.85,14806.81,24429.77,4659.02,16031.59
228,12/01/2022,7551.72,15188.39,24402.17,4726.35,16010.32
229,11/01/2022,7491.37,15153.45,23739.06,4713.07,15941.81
230,10/01/2022,7445.25,14942.83,23746.54,4670.29,15768.27
231,07/01/2022,7485.28,14935.9,23493.38,4677.02,15947.74
232,06/01/2022,7450.37,15080.87,23072.86,4696.05,16052.03
233,05/01/2022,7516.87,15100.17,22907.25,4700.58,16271.75
234,04/01/2022,7505.15,15622.72,23289.84,4793.54,16152.61
235,30/12/2021,7403.01,15741.56,23112.01,4778.73,15884.86
236,29/12/2021,7420.69,15766.22,23086.54,4793.06,15852.25
237,23/12/2021,7373.34,15653.37,23193.64,4725.78,15756.31
238,22/12/2021,7341.66,15521.89,23102.33,4696.56,15593.47
239,21/12/2021,7297.41,15341.09,22971.33,4649.23,15447.44
240,20/12/2021,7198.03,14980.94,22744.86,4568.02,15239.67
241,17/12/2021,7269.92,15169.68,23192.63,4620.64,15531.69
242,16/12/2021,7260.61,15180.43,23475.5,4668.67,15636.4
243,15/12/2021,7170.75,15565.58,23420.76,4709.84,15476.35
244,14/12/2021,7218.64,15237.64,23635.95,4634.09,15453.56
245,13/12/2021,7231.44,15413.28,23954.58,4669.15,15621.72
246,10/12/2021,7291.78,15630.6,23995.72,4712.02,15623.31
247,09/12/2021,7321.26,15517.37,24254.86,4667.45,15639.26
248,08/12/2021,7337.05,15786.99,23996.87,4701.21,15687.09
249,07/12/2021,7339.9,15686.92,23983.66,4686.75,15813.94
